100	22010.6
200	21176.1
300	20202.2
400	19749.9
500	19399.9
700	18282.1
800	17515.5
900	17348.4
1000	16577
1300	15960.3
1500	15537.3
1700	15191.8
1900	14965.6
2000	14380.6
2100	13925.7
2400	13739.5
2500	13735.9
2600	13655.5
2700	13588
2800	13544.7
3100	13535.1
3400	13531.3
5700	13519.5
25400	13518.3
68800	13247.1
282900	12883.4
285800	12690.2
507000	12664.1
747700	12512.7
851300	12495
865500	12305.8
865600	12241.6
867000	12132.1
905400	11889.9
906000	11889.4
906300	11756.3
971300	11534.3
972300	11519.9
